Start Time,End Time,Speaker,Age,Gender,Transcription,Audio File Path
12.36659375,16.973468750000002,SPEAKER_01,[0.37278497],1, So what's new Mark? How is your new job going?,speaker_segments1/speaker_SPEAKER_01_segment_0.wav
16.973468750000002,24.90471875,SPEAKER_00,[0.37278497],1," To be honest, I can't complain. I really love the company that I am working for.",speaker_segments1/speaker_SPEAKER_00_segment_1.wav
26.153468750000002,33.173468750000005,SPEAKER_00,[0.37278497],1, My co-workers are all really friendly and helpful. They really help me feel welcome.,speaker_segments1/speaker_SPEAKER_00_segment_2.wav
34.118468750000005,37.392218750000005,SPEAKER_00,[0.37278497],1, It's a really energetic and fun atmosphere.,speaker_segments1/speaker_SPEAKER_00_segment_3.wav
38.32034375,40.49721875,SPEAKER_00,[0.37278497],1, My boss is hilarious.,speaker_segments1/speaker_SPEAKER_00_segment_4.wav
41.17221875,44.445968750000006,SPEAKER_00,[0.37278497],1, and he's really flexible. Really?,speaker_segments1/speaker_SPEAKER_00_segment_5.wav
45.67784375,46.62284375,SPEAKER_00,[0.37278497],1, How so?,speaker_segments1/speaker_SPEAKER_00_segment_6.wav
47.70284375,53.06909375,SPEAKER_00,[0.37278497],1, He allows me to come in when I want and make my own hours.,speaker_segments1/speaker_SPEAKER_00_segment_7.wav
53.929718750000006,57.16971875,SPEAKER_00,[0.37278497],1, I can also leave early if I start early.,speaker_segments1/speaker_SPEAKER_00_segment_8.wav
57.861593750000004,68.98221875,SPEAKER_00,[0.37278497],1, There is no real dress code either. I can wear jeans and a t-shirt if I want. I can even wear shorts in the summer. Wow!,speaker_segments1/speaker_SPEAKER_00_segment_9.wav
68.57721875,69.20159375,SPEAKER_01,[0.37278497],1, Now.,speaker_segments1/speaker_SPEAKER_01_segment_10.wav
69.87659375,71.83409375000001,SPEAKER_01,[0.37278497],1, It sounds really cool.,speaker_segments1/speaker_SPEAKER_01_segment_11.wav
72.52596875,81.36846875,SPEAKER_01,[0.37278497],1, I can't stand wearing a suit every day. Which do you prefer? Working late or finishing early?,speaker_segments1/speaker_SPEAKER_01_segment_12.wav
81.97596875,86.75159375000001,SPEAKER_00,[0.37278497],1, I prefer finishing early. I really enjoyed the morning.,speaker_segments1/speaker_SPEAKER_00_segment_13.wav
87.54471875,91.07159375,SPEAKER_00,[0.37278497],1, I love getting up early and going for a run.,speaker_segments1/speaker_SPEAKER_00_segment_14.wav
91.67909375,96.65721875000001,SPEAKER_00,[0.37278497],1, There's nothing like watching the sunrise while drinking my morning coffee.,speaker_segments1/speaker_SPEAKER_00_segment_15.wav
97.68659375,98.34471875000001,SPEAKER_00,[0.37278497],1, Really?,speaker_segments1/speaker_SPEAKER_00_segment_16.wav
98.02409375,98.24346875,SPEAKER_01,[0.37278497],1, Sadly..,speaker_segments1/speaker_SPEAKER_01_segment_17.wav
99.55971875,100.85909375,SPEAKER_01,[0.37278497],1, I am opposite.,speaker_segments1/speaker_SPEAKER_01_segment_18.wav
101.77034375000001,103.52534375,SPEAKER_01,[0.37278497],1, I love sleeping in.,speaker_segments1/speaker_SPEAKER_01_segment_19.wav
104.87534375000001,109.85346875,SPEAKER_01,[0.37278497],1, I am most alert in the evenings. I'm a real night owl.,speaker_segments1/speaker_SPEAKER_01_segment_20.wav
114.20721875000001,116.31659375000001,SPEAKER_00,[0.37278497],1," Well, you know what they say.",speaker_segments1/speaker_SPEAKER_00_segment_21.wav
117.09284375000001,119.53971875,SPEAKER_00,[0.37278497],1, The early bird catches the worm.,speaker_segments1/speaker_SPEAKER_00_segment_22.wav
120.19784375,120.29909375000001,SPEAKER_00,[0.37278497],1, You,speaker_segments1/speaker_SPEAKER_00_segment_23.wav
120.29909375000001,121.88534375,SPEAKER_01,[0.37278497],1," You know, you could be right.",speaker_segments1/speaker_SPEAKER_01_segment_24.wav
122.96534375,127.03221875000001,SPEAKER_01,[0.37278497],1, Maybe I will try to go to bed a little earlier tonight.,speaker_segments1/speaker_SPEAKER_01_segment_25.wav
